CCS,Coal(KG/T),Bentonite(KG/T),Furnance oil(LITR/T),i/m speed (m/min),Total Bed height (mm),lime + Coal(%),T1,T2,T3,T4,T5,T6,T7,T8,production quantity,Tumble Index%,Abration Index%,Mean Dia(mm),Porosity Pellet%,Input Fe( Raw material)%,Output Fe(Pellets)%
189,12.1,3.92,15,2.823333333,509.6666667,3.066666667,900,1030,1110,1230,1280,1280,1200,890,11485,93.2,5.12,12.2,24.2,62.08,62.89
189,11.89,3.99,15,2.916666667,494,3.45,930,1030,1150,1240,1280,1250,1180,890,11020,93.39,4.42,12,23.74,61.83,62.77
189,11.3,6.03,13.99,3.05,487,3.1,900,1000,1100,1220,1220,1300,1220,1180,11945,93.77,4.59,12.19,23.84,62.55,63.39
189,10.98,5.96,12,3.056666667,521.3333333,3.166666667,900,1000,1100,1200,1260,1253.333333,1186.666667,980,11750,93.14,5.05,12.19,23.46,62.73,63.58
189,10.11,6.04,13.67,3.1,493.6666667,3.116666667,920,1040,1140,1226,1250,1266,1226,950,12260,93.48,4.98,12.35,23.41,63.22,63.83
190,17,3.94,14,3.156666667,457.6666667,3,830,983.3333333,1083.333333,1150,1170,1170,1150,900,12440,93.37,4.92,12.03,23.48,62.13,62.96
190,15,4.02,14,3,497.1666667,3.366666667,900,1050,1160,1240,1300,1280,1280,1070,12200,92.95,5.21,11.83,24.17,61.99,62.65
190,14.98,4.97,14,2.806666667,504.1666667,3.466666667,900,1010,1100,1200,1300,1280,1280,1000,11680,93.03,5.18,11.99,23.73,62.04,62.6
190,14.95,4.05,14,3.023333333,488,3.366666667,900,1000,1100,1200,1300,1280,1280,956.6666667,12105,92.93,5.29,12.09,23.99,61.91,62.67
190,14.92,3.99,14,2.893333333,495.8333333,3.5,900,1010,1100,1200,1300,1280,1280,990,11525,93.28,4.95,12.27,24.2,62.27,63.09
190,14.14,6.3,12,3,524.8333333,2.7,900,1000,1120,1180,1260,1200,1200,1200,13010,93.39,4.87,12.36,23.9,62.74,63.41
190,13,6.48,15,2.943333333,493.1666667,3,900,1050,1150,1220,1280,1280,1250,1066.666667,12035,93.05,5.15,11.97,23.58,61.92,62.78
190,13,3.89,14,3.11,491.5,3.2,920,1020,1150,1250,1286.666667,1286.666667,1250,886.6666667,11840,92.36,5.31,12.34,23.43,62.24,62.84
190,12.98,6.44,16,3.086666667,504.3333333,2.933333333,900,1050,1150,1220,1280,1280,1250,1033.333333,11020,93.21,4.83,11.91,23.63,61.93,62.87
190,12.98,6.03,12.19,3.15,500,3.4,910,1020,1150,1220,1300,1300,1180,1000,13095,93.61,4.75,12.32,23.47,62.13,63.26
190,12.94,3.8,14,3.183333333,492.5,3.4,906.6666667,1006.666667,1150,1216.666667,1273.333333,1273.33,1250,880,5795,92.62,5.14,12.72,23.98,61.97,62.69
190,12.91,3.91,15,3.056666667,480,3.1,900,1050,1150,1220,1280,1280,1250,966.6666667,12010,93.09,5.22,11.81,23.63,61.88,62.77
190,12.71,3.73,15.32,2.876666667,465,3.7,920,1020,1120,1170,1260,1200,1210,1160,11255,93.47,4.56,12.59,23.86,61.8,62.79
190,12.71,3.97,14,2.946666667,511,3.533333333,900,1050,1150,1240,1293.333333,1293.333333,1280,1016.666667,12585,93.25,4.43,11.68,24.19,61.8,62.66
190,12.71,6.18,16,3.056666667,463.5,3.233333333,900,1033.333333,1140,1213.333333,1280,1280,1216.666667,966.6666667,11645,93.1,5.1,12.03,23.61,61.93,62.75
190,12.7,6.07,13.09,3.15,482,3.2,950,1050,1180,1240,1300,1300,1180,1150,12680,93.48,4.45,11.98,23.54,62.15,63.28
190,12.07,6.07,13.98,3.15,500,3.2,930,1040,1150,1250,1300,1300,1250,1100,13010,93.37,4.78,12.27,23.99,62.35,63.38
190,11.99,4,12,3.046666667,510,3.766666667,850,1050,1150,1220,1240,1250,1250,980,13015,93.6,4.8,11.76,23.43,61.47,62.27
190,11.84,6,15,3.046666667,480,3.416666667,930,1030,1150,1250,1280,1250,1170,880,12335,93.67,4.89,12.11,23.55,61.72,62.54
190,11.69,6.02,13.76,2.9,490,3.3,920,1020,1120,1220,1280,1250,1200,1100,11460,93.69,4.61,12.38,23.58,62.32,63.3
190,11.29,6.03,13.68,3.1,500,3.2,910,1020,1130,1220,1300,1280,1180,1100,12760,93.7,4.39,12.23,23.17,62.33,63.34
190,8.97,3.99,16,3.183333333,504.3333333,5.066666667,920,1020,1130,1260,1300,1310,1150,1100,13270,91.32,6.72,12.47,22.73,62.54,62.97
191,16.9,3.92,17,3.023333333,485,3.066666667,820,1000,1150,1250,1280,1280,1250,900,8165,92.88,5.38,12.34,22.8,62.28,63.25
191,15,4.03,13,2.766666667,502.8333333,3.5,900,1010,1100,1200,1300,1280,1280,986.6666667,11670,93.05,5.21,12.2,23.67,62.02,62.92
191,15,3.93,14,3.096666667,487.5,3.166666667,900,1000,1100,1200,1300,1280,1280,920,12205,93.07,5.19,11.98,23.54,61.86,62.65
191,14.96,3.82,13,3.086666667,482,3.5,900,1000,1100,1200,1300,1280,1280,983.3333333,12035,93.44,4.9,12.12,23.98,61.93,62.61
191,14.96,5.05,14,3.026666667,482,3.5,900,1013.333333,1100,1200,1300,1280,1280,983.3333333,10695,92.87,5.4,12.28,24.25,61.79,62.76
191,12.98,3.83,14,3.076666667,479.6666667,3.3,856.6666667,1006.666667,1150,1230,1300,1250,1250,913.3333333,12015,93.03,5.02,12.28,23.81,62.1,62.8
191,12.96,3.9,12,3.103333333,483.1666667,3.033333333,900,1050,1200,1250,1300,1250,1250,900,12040,93.13,5.2,12.26,23.96,62.19,63.14
191,12.96,6.44,16,2.776666667,400,3,900,1000,1100,1200,1280,1280,1200,900,11650,93.03,5.13,12.05,23.8,62.11,62.91
191,12.8,6.4,15,3.033333333,506.6666667,3.383333333,933.3333333,1033.333333,1143.333333,1250,1276.666667,1216.666667,1130,886.6666667,11715,93.16,4.82,12.08,23.65,61.98,62.76
191,11.99,3.84,11,3.036666667,495.5,3.766666667,850,1050,1150,1220,1240,1250,1250,970,13010,93.8,4.46,11.68,23.28,61.39,62.2
191,11.97,5.94,15,2.766666667,495.6666667,3.433333333,930,1030,1150,1250,1280,1250,1176.666667,886.6666667,12285,93.45,4.66,12.01,23.83,61.74,62.48
191,11.59,6.03,11.7,2.95,499,3.2,930,1040,1150,1250,1300,1300,1250,1100,12770,93.43,4.77,12.08,23.78,62.24,63.24
191,11.58,6,13,3.2,497.5,3.466666667,839.1666667,1020,1126.666667,1200,1260,1280,1200,1096.666667,12005,93.22,4.81,12.35,23.28,62.41,63.13
191,11.21,3.96,14.12,2.95,500,2.9,900,1013.333333,1106.666667,1220,1270,1250,1200,1070,11860,93.16,4.84,12.04,24.04,62.45,63.41
191,11.11,4.01,14.43,2.9,494,3,920,1020,1130,1220,1270,1250,1200,1100,10980,93.52,4.72,12.18,24.07,62.48,63.39
191,11.1,6.03,14.25,3.2,485,2.9,930,1040,1150,1250,1300,1300,1250,1100,10450,93.31,5.13,12.21,23.11,62.33,63.37
191,11.01,3.9,15,3.166666667,505,3.2,930,1050,1150,1120,1236.66,1286.66,1250,900,13075,92.41,5.55,12.41,23.5,62.24,63.29
191,11,3.89,13.34,3.2,503,3.2,930,1050,1150,1240,1300,1300,1250,1000,13365,93.02,5.02,12.23,23.43,62.39,63.3
191,11,3.15,11,2.9,510,3.1,920,1020,1120,1100,1270,1280,1050,990,12075,93.59,4.58,12.11,23.22,62.73,63.58
191,10.97,3.89,14,3.16,513.6666667,3.4,930,1053.333333,1150,1236.666667,1300,1300,1250,966.6666667,13125,92.73,5.25,12.31,23.44,62.29,63.33
191,10.31,3.91,11,2.826666667,510,3.2,900,1010,1110,1200,1270,1280,1200,1120,12030,93.55,4.87,12.42,22.51,62.67,63.54
191,10.22,3.96,11,2.75,516,3.333333333,900,1010,1110,1200,1270,1280,1200,1120,12135,93.44,4.91,12.31,23.15,62.63,63.46
192,17,3.98,15,3.1,487.3333333,2.8,820,1000,1150,1250,1280,1280,1250,900,11565,93.54,4.46,12.24,23.8,62.08,63.32
192,16.94,3.92,13,2.953333333,486.8333333,3.033333333,820,1000,1150,1210,1253.333333,1273.333333,1250,800,12515,92.83,5.39,12.1,23.42,62.19,63.1
192,15,5.06,16,3.056666667,487.3333333,3.483333333,983.3333333,1026.666667,1116.666667,1226.666667,1266.666667,1246.666667,1183.333333,896.6666667,3560,92.79,5.31,12.24,23.83,61.8,62.77
