date,CCS,Coal(KG/T),Bentonite(KG/T),Organic binder(KG,Furnance oil(LITR/T),i/m speed (m/min),Total Bed height (mm),lime + Coal(%),T1,T2,T3,T4,T5,T6,T7,T8,Fixed Carbon of Coal (%),production quantity,Tumble Index%,Abration Index%,Mean Dia(mm),Porosity Pellet%,Input Fe( Raw material)%,Output Fe(Pellets)%
09-04-2023,189,12.86,6.11,757.2082993,13.64,2.87,477,3.2,936.6666667,1050,1180,1240,1300,1300,1180,1150,83.1,12440,93.55,4.81,12.05,23.72,62.29,63.36
14-May,209,8.99,3.98,500,14,2.45,435,3.2,900,1000,1100,1220,1280,1300,1310,1150,,12570,93.21,4.99,12.56,21.34,63.27,63.86
09-03-2023,190,12.7,6.07,309.7857143,13.09,3.15,482,3.2,950,1050,1180,1240,1300,1300,1180,1150,83.74,12680,93.48,4.45,11.98,23.54,62.15,63.28
9/19/2023,192,11.51,6.07,895,13.98,2.966666667,492,3.2,930,1050,1150,1250,1300,1300,1250,1150,83.98,12680,92.99,5.07,11.85,23.37,62.1,63.3
5/17/2023,207,13.98,5.99,0,14.91,2.456666667,429.1666667,3.4,900,1000,1120,1170,1260,1200,1200,1140,82.67,8010,93.94,4.58,12.14,23.06,61.94,62.87
5/18/2023,205,13.73,6.09,0,14.86,2.69,460,3.4,900,1000,1120,1170,1260,1200,1200,1140,84.09,9030,93.72,4.91,12.33,23.55,61.81,62.86
06-06-2023,184,14.8,4.07,346,13.01,2.8,483.3333333,3.5,910,1010,1120,1170,1260,1200,1200,1140,86.14,10070,93.21,5.38,12.3,24.12,62.14,62.99
06-04-2023,188,13.57,5.66,619.6666667,14.27,2.733333333,472.8333333,3.55,910,1010,1120,1170,1260,1200,1200,1140,85.06,10240,93.46,4.93,12.28,24.02,62.22,62.91
06-05-2023,182,14.23,4.17,470,13.07,2.913333333,448.8333333,3.5,910,1010,1120,1170,1260,1200,1200,1140,85.89,10540,93.14,5.32,12.18,24.01,62.03,62.94
5/19/2023,205,13.67,5.99,0,12.65,2.75,453.5,3.5,900,1000,1120,1170,1260,1200,1200,1136.666667,84.41,10020,93.83,4.48,12.33,23.64,61.67,62.79
05-01-2023,183,13.22,4.3,350,12.41,3.026666667,517.5,3.3,900,1000,1120,1180,1260,1200,1200,1133.333333,83.64,13010,92.49,5.6,12.39,24.02,62.81,63.51
12-Apr,194,13.05,6.26,,12,3,510.1666667,3.633333333,910,1000,1120,1180,1270,1200,1200,1133.333333,70.55,13100,93.38,4.95,12.58,23.19,62.82,63.53
5/23/2023,195,13.46,5.88,0,21.03,3,464.5,3.3,900,1000,1100,1170,1250,1200,1200,1130,82.57,4085,92.46,5.16,12.58,23.7,61.57,62.51
5/20/2023,201,13.49,5.9,0,12.85,2.716666667,451,3.3,900,1000,1120,1170,1260,1200,1200,1130,84.02,10005,93.3,5.36,12.4,23.92,61.06,62.33
5/21/2023,203,13.59,5.89,0,12.67,2.75,466.1666667,3.3,900,1000,1120,1170,1260,1200,1200,1130,82.7,10010,93.84,4.79,12.35,23.85,61.39,62.39
05-09-2023,189,13.13,5.59,544.375,11.14,3.016666667,517.1666667,2.933333333,900,1180,1000,1180,1260,1200,1200,1130,83.62,12870,93.09,4.88,12.38,23.57,62.78,63.49
5/22/2023,201,13.6,5.96,0,12.64,2.873333333,465,3.3,900,1000,1120,1170,1260,1200,1200,1126.666667,82.13,10070,93.37,4.76,12.36,23.81,61.96,62.72
03-Mar,192,11.71,3.74,300,12,3.036666667,491,2.933333333,920,1020,1106.666667,1170,1270,1280,1100,1126.666667,85.97466667,12295,92.83,5.43,12.15,22.88,62.81,63.63
16-Mar,191,10.31,3.91,,11,2.826666667,510,3.2,900,1010,1110,1200,1270,1280,1200,1120,84.992,12030,93.55,4.87,12.42,22.51,62.67,63.54
18-Mar,193,10.12,3.82,,12,2.733333333,485.5,3.333333333,900,1010,1110,1200,1270,1280,1200,1120,82.5,12055,93.23,4.9,12.29,23.12,62.55,63.4
17-Mar,191,10.22,3.96,,11,2.75,516,3.333333333,900,1010,1110,1200,1270,1280,1200,1120,85.164,12135,93.44,4.91,12.31,23.15,62.63,63.46
